vic_loca_2,num_of_liquor_shops
ABBOTSFORD,87
ABERFELDIE,2
ACHERON,4
AINTREE,1
AIREYS INLET,11
AIRPORT WEST,15
ALBERT PARK,74
ALBERTON,2
ALBERTON WEST,2
ALBION,7
ALEXANDRA,15
ALFREDTON,9
ALLANS FLAT,2
ALLANSFORD,6
ALPHINGTON,21
ALTONA,49
ALTONA EAST,1
ALTONA MEADOWS,9
ALTONA NORTH,25
ALVIE,4
AMHERST,1
ANAKIE,6
ANDERSON,1
ANGLERS REST,1
ANGLESEA,26
APOLLO BAY,35
APSLEY,2
ARARAT,45
ARCHIES CREEK,1
ARDEER,7
ARDMONA,2
ARMADALE,53
ARMSTRONG,4
ARMSTRONG CREEK,6
ARNOLD,1
ARTHURS CREEK,1
ARTHURS SEAT,5
ASCOT VALE,59
ASHBURTON,22
ASHWOOD,13
ASPENDALE,12
ASPENDALE GARDENS,3
ASPENDALE NORTH,1
ATHLONE,1
ATTWOOD,1
AUBURN,4
AVALON,1
AVENEL,13
AVOCA,16
AVONDALE HEIGHTS,13
AVONMORE,1
AVONSLEIGH,3
AXEDALE,5
BACCHUS MARSH,35
BADDAGINNIE,1
BADGER CREEK,2
BAGSHOT,1
BAILIESTON,1
BAIRNSDALE,55
BAIRNSDALE EAST,1
BAKERY HILL,2
BALACLAVA,38
BALLAN,12
BALLARAT,191
BALLARAT CENTRAL,22
BALLARAT EAST,3
BALMORAL,5
BALNARRING,31
BALOOK,1
BALWYN,43
BALWYN EAST,1
BALWYN NORTH,45
BAMAWM,2
BAMBRA,2
BANGHOLME,6
BANNOCKBURN,16
BARANDUDA,3
BARFOLD,2
BARINGHUP,3
BARJARG,1
BARKERS CREEK,2
BARKLY,1
BARMAH,1
BARNAWARTHA,6
BARNAWARTHA NORTH,1
BAROMI,1
BARONGAROOK,4
BARRABOOL,2
BARWITE,2
BARWON HEADS,25
BASS,2
BATESFORD,3
BAXTER,12
BAYINDEEN,3
BAYLES,2
BAYNTON VIA KYNETON,1
BAYSWATER,42
BAYSWATER NORTH,4
BEACON COVE,1
BEACONSFIELD,28
BEACONSFIELD UPPER,8
BEALIBA,1
BEARII,1
BEAUFORT,12
BEAUMARIS,44
BEEAC,2
BEECH FOREST,2
BEECHWORTH,57
BELGRAVE,30
BELGRAVE SOUTH,5
BELL PARK,7
BELL POST HILL,3
BELLARINE,9
BELLBRAE,4
BELLBRIDGE,1
BELLFIELD,1
BELMONT,45
BEMM RIVER,1
BENALLA,48
BENAMBRA,3
BENDIGO,193
BENDIGO EAST,5
BENDOC,1
BENNETSWOOD,1
BENTLEIGH,55
BENTLEIGH EAST,55
BERRIWILLOCK,3
BERRYS CREEK,1
BERWICK,65
BERWICK SOUTH,2
BETHANGA,5
BEULAH,4
BEVERFORD,2
BEVERIDGE,3
BIG HILL  LOCKWOOD SOUTH,1
BIGHILL,1
BINGINWARRI,1
BIRCHIP,8
BIRDWOODTON,1
BIRREGURRA,7
BITTERN,12
BLACK HILL,1
BLACK ROCK,41
BLACKBURN,35
BLACKBURN NORTH,9
BLACKBURN SOUTH,11
BLACKROCK,1
BLACKWOOD,5
BLAIRGOWRIE,12
BLAMPIED,3
BLIND BIGHT,3
BOBINAWARRAH,1
BOBINAWARRAH EAST,1
BOCHARA,1
BOGONG,2
BOISDALE,2
BOLWARRA,1
BONBEACH,10
BONEGILLA,2
BONEO,5
BONNIE DOON,7
BOOLARRA,3
BOORCAN,1
BOORHAMAN,2
BOORT,12
BORONIA,47
BORONIA HEIGHTS,1
BOUNDARY BEND,1
BOX HILL,107
BOX HILL NORTH,11
BOX HILL SOUTH,13
BRAESIDE,23
BRANXHOLME,3
BRAYBROOK,24
BREAKWATER,7
BREAMLEA,1
BRIAGOLONG,2
BRIAR HILL,3
BRIDGEWATER,3
BRIDGEWATER ON LODDON,3
BRIGHT,51
BRIGHTON,129
BRIGHTON BEACH,2
BRIGHTON EAST,24
BRIGHTON NORTH,3
BRIM,3
BRIMIN,1
BRIMPAEN,1
BROADFORD,14
BROADMEADOWS,23
BROOKLYN,3
BROWN HILL,2
BROWNS PLAINS,2
BRUNSWICK,169
BRUNSWICK EAST,99
BRUNSWICK NORTH,1
BRUNSWICK WEST,28
BRUTHEN,7
BUANGOR,1
BUCHAN,4
BUCKLAND VALLEY,1
BUCKLEY,1
BUFFALO RIVER,2
BULLA,2
BULLEEN,28
BULN BULN,2
BUNBARTHA,1
BUNDALAGUAH,1
BUNDALONG,4
BUNDOORA,78
BUNGAREE,3
BUNINYONG,13
BUNYIP,8
BURNLEY,1
BURNSIDE,4
BURNSIDE HEIGHTS,1
BURRAMINE,2
BURWOOD,27
BURWOOD EAST,35
BUSHFIELD,1
BUXTON,6
BYADUK,1
BYAWATHA,1
CAIRNLEA,8
CALDERMEADE,1
CALIFORNIA GULLY,2
CALIVIL,2
CAMBERWELL,111
CAMBERWELL SOUTH,1
CAMBRIAN HILL,1
CAMPBELLFIELD,28
CAMPBELLS CREEK,3
CAMPBELLTOWN,1
CAMPERDOWN,18
CANN RIVER,4
CANTERBURY,14
CAPE BRIDGEWATER,2
CAPE CLEAR,1
CAPE OTWAY,3
CAPE PATERSON,2
CAPE SCHANCK,7
CAPE SCHANK,1
CAPE WOOLAMAI,5
CARAMUT,2
CARAPOOEE WEST,1
CARDIGAN,2
CARDINIA,2
CARDINIA LAKES,1
CARDROSS,4
CARISBROOK,10
CARLSRUHE,2
CARLTON,186
CARLTON NORTH,58
CARNEGIE,79
CARNGHAM,1
CAROLINE SPRINGS,36
CARRAJUNG LOWER,2
CARRANBALLAC,1
CARRUM,14
CARRUM DOWNS,35
CASSILIS,2
CASTERTON,11
CASTLEMAINE,50
CATANI,4
CATHCART,2
CAULFIELD,27
CAULFIELD EAST,11
CAULFIELD NORTH,17
CAULFIELD SOUTH,24
CAVEAT VIA SEYMOUR,1
CAVENDISH,3
CERES,1
CHADSTONE,43
CHARLTON,14
CHELSEA,28
CHELSEA HEIGHTS,10
CHELTENHAM,86
CHESHUNT,6
CHEWTON,2
CHILTERN,10
CHILWELL,1
CHIRNSIDE PARK,30
CHUM CREEK,1
CHURCHILL,9
CHURCHILL ISLAND,1
CLARINDA,3
CLARKEFIELD,1
CLAYTON,87
CLAYTON NORTH,2
CLAYTON SOUTH,17
CLEMATIS,1
CLIFTON HILL,27
