"Suburb","Total_Number","BYO_Only","Ordinary_Trading_Hours","Gambling_Allowed"
"ABBOTSFORD",87,2,33,1
"ABERFELDIE",2,0,1,0
"ACHERON",4,0,1,0
"AINTREE",1,0,1,0
"AIREYS INLET",11,1,4,0
"AIRPORT WEST",15,0,11,1
"ALBERT PARK",74,4,34,1
"ALBERTON",2,0,1,0
"ALBERTON WEST",2,0,1,0
"ALBION",7,0,3,0
"ALEXANDRA",15,0,2,0
"ALFREDTON",9,0,6,0
"ALLANS FLAT",2,0,1,0
"ALLANSFORD",6,0,3,0
"ALPHINGTON",21,0,6,0
"ALTONA",49,1,25,3
"ALTONA EAST",1,0,1,0
"ALTONA MEADOWS",9,0,5,0
"ALTONA NORTH",25,1,12,1
"ALVIE",4,0,1,0
"AMHERST",1,0,1,0
"ANAKIE",6,0,3,0
"ANDERSON",1,0,1,0
"ANGLERS REST",1,0,2,0
"ANGLESEA",26,3,8,1
"APOLLO BAY",35,0,22,0
"APSLEY",2,0,1,0
"ARARAT",45,6,10,2
"ARCHIES CREEK",1,0,2,0
"ARDEER",7,0,4,0
"ARDMONA",2,0,1,0
"ARMADALE",53,0,28,0
"ARMSTRONG",4,0,1,0
"ARMSTRONG CREEK",6,0,4,0
"ARNOLD",1,0,1,0
"ARTHURS CREEK",1,0,1,0
"ARTHURS SEAT",5,0,4,0
"ASCOT VALE",59,2,25,0
"ASHBURTON",22,4,12,0
"ASHWOOD",13,3,4,0
"ASPENDALE",12,0,5,0
"ASPENDALE GARDENS",3,0,3,0
"ASPENDALE NORTH",1,0,1,0
"ATHLONE",1,0,1,0
"ATTWOOD",1,0,2,0
"AUBURN",4,0,2,0
"AVALON",1,0,1,0
"AVENEL",13,0,4,0
"AVOCA",16,0,2,0
"AVONDALE HEIGHTS",13,2,7,0
"AVONMORE",1,0,1,0
"AVONSLEIGH",3,0,2,0
"AXEDALE",5,0,1,0
"BACCHUS MARSH",35,2,14,3
"BADDAGINNIE",1,0,1,0
"BADGER CREEK",2,0,1,0
"BAGSHOT",1,0,1,0
"BAILIESTON",1,0,1,0
"BAIRNSDALE",55,1,23,6
"BAIRNSDALE EAST",1,0,1,0
"BAKERY HILL",2,0,2,0
"BALACLAVA",38,0,20,1
"BALLAN",12,1,2,0
"BALLARAT",191,6,65,12
"BALLARAT CENTRAL",22,0,21,0
"BALLARAT EAST",3,0,3,0
"BALMORAL",5,0,3,0
"BALNARRING",31,3,11,0
"BALOOK",1,0,1,0
"BALWYN",43,10,26,0
"BALWYN EAST",1,1,1,0
"BALWYN NORTH",45,9,19,0
"BAMAWM",2,0,1,0
"BAMBRA",2,0,1,0
"BANGHOLME",6,0,2,0
"BANNOCKBURN",16,0,5,0
"BARANDUDA",3,0,3,0
"BARFOLD",2,0,1,0
"BARINGHUP",3,0,2,0
"BARJARG",1,0,2,0
"BARKERS CREEK",2,0,1,0
"BARKLY",1,0,1,0
"BARMAH",1,0,2,0
"BARNAWARTHA",6,0,2,0
"BARNAWARTHA NORTH",1,0,1,0
"BAROMI",1,0,1,0
"BARONGAROOK",4,0,2,0
"BARRABOOL",2,0,2,0
"BARWITE",2,0,1,0
"BARWON HEADS",25,1,10,1
"BASS",2,0,1,0
"BATESFORD",3,0,1,0
"BAXTER",12,0,4,1
"BAYINDEEN",3,0,1,0
"BAYLES",2,0,2,0
"BAYNTON VIA KYNETON",1,0,1,0
"BAYSWATER",42,4,22,2
"BAYSWATER NORTH",4,0,3,0
"BEACON COVE",1,0,1,0
"BEACONSFIELD",28,0,16,1
"BEACONSFIELD UPPER",8,0,2,0
"BEALIBA",1,0,2,0
"BEARII",1,0,1,0
"BEAUFORT",12,0,6,0
"BEAUMARIS",44,2,28,0
"BEEAC",2,0,2,0
"BEECH FOREST",2,0,2,0
"BEECHWORTH",57,0,18,0
